               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.038335,           0.0093548,                   0,             0.63628,             0.63616,             0.61538,             0.28166,            0.052799,           0.0077507,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.037132,           0.0089989,                   0,             0.84541,                 0.5,             0.58791,             0.31695,             0.05213,           0.0075208,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.037899,           0.0088673,                   0,                   1,              0.4992,             0.60851,             0.29553,            0.054456,            0.008234,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.037267,           0.0095326,                   0,             0.92813,             0.59091,              0.6538,             0.29214,            0.050561,           0.0075891,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.037314,           0.0090493,                   0,             0.92828,             0.59091,              0.6838,             0.31201,            0.052173,           0.0069473,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.036432,           0.0087958,                   0,             0.92847,             0.59091,             0.64786,             0.36517,            0.046728,            0.007825,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.037378,           0.0090152,                   0,             0.85536,             0.54545,             0.59636,             0.30279,             0.04878,            0.007599,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.036639,           0.0086886,                   0,             0.99932,             0.59091,             0.67238,             0.33166,            0.049868,           0.0072507,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.034732,           0.0088946,                   0,             0.82346,             0.63606,             0.60894,             0.30243,            0.051352,           0.0072459,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.033918,           0.0088906,                   0,             0.60832,                 0.5,             0.51267,             0.24374,            0.052468,           0.0075788,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.034275,           0.0086248,                   0,             0.73681,             0.63636,             0.63898,             0.31783,            0.050551,           0.0069201,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.034175,           0.0087768,                   0,             0.68417,             0.59079,              0.6122,             0.32386,            0.050597,           0.0067742,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.03511,           0.0083837,                   0,             0.59934,             0.68182,             0.61919,             0.26504,            0.052615,           0.0071843,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.03292,           0.0083553,                   0,             0.92842,             0.59091,             0.64451,             0.31842,            0.050268,           0.0067182,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.032425,           0.0082603,                   0,             0.99996,             0.63636,             0.69091,             0.32392,            0.048274,           0.0068002,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.031977,           0.0081314,                   0,             0.83317,             0.68107,             0.71806,             0.32894,            0.048903,           0.0067207,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.032015,           0.0085135,                   0,             0.85691,             0.54545,             0.66104,             0.34089,            0.048557,           0.0071449,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.03232,           0.0084427,                   0,             0.72721,             0.72705,              0.7114,              0.3669,            0.049075,           0.0066366,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.031408,           0.0081473,                   0,             0.93313,             0.63636,             0.69996,              0.3511,            0.049147,           0.0069606,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.031901,           0.0079231,                   0,             0.92742,             0.59091,             0.72125,             0.37541,             0.04742,           0.0067797,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.031491,           0.0080135,                   0,             0.99998,             0.59091,             0.68694,              0.3522,            0.049581,           0.0066173,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.030614,           0.0079301,                   0,             0.93329,             0.63594,             0.69384,             0.33688,            0.049193,           0.0067089,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.030986,           0.0081399,                   0,             0.86665,             0.59091,             0.64318,             0.33566,            0.050734,           0.0072902,                   0,             0.00406,             0.00406,             0.00406
